epoch,loss,grad_norm,learning_rate,eval_loss,eval_accuracy,eval_f1_macro,eval_f1_binary,eval_f1_class0,eval_f1_class1,eval_runtime,eval_samples_per_second,eval_steps_per_second,run_id,model,context,max_len
0.7692307692307693,0.53760009765625,6.8207688331604,1.3572115384615385e-05,,,,,,,,,,2026-05-08_15-29-22,baseline,False,192
1.9230769230769231,0.3817289733886719,6.547365188598633,1.1408653846153845e-05,0.3835534155368805,0.8413793103448276,0.8225795811707726,0.7648261758691206,0.8803329864724245,0.7648261758691206,1.7806,407.173,25.834,2026-05-08_15-29-22,baseline,False,192
2.6923076923076925,0.2871131134033203,14.818016052246094,9.966346153846154e-06,0.37116655707359314,0.8524137931034482,0.8328560870979766,0.7756813417190775,0.8900308324768756,0.7756813417190775,1.7826,406.719,25.806,2026-05-08_15-29-22,baseline,False,192
3.8461538461538463,0.21477855682373048,12.766009330749512,7.802884615384616e-06,0.33427202701568604,0.8786206896551724,0.8525196486361535,0.7904761904761904,0.9145631067961165,0.7904761904761904,1.7993,402.934,25.565,2026-05-08_15-29-22,baseline,False,192
5.0,0.18214776992797851,1.6547658443450928,5.639423076923077e-06,0.3755401372909546,0.8662068965517241,0.837206502943362,0.7684964200477327,0.9059165858389913,0.7684964200477327,1.7731,408.879,25.943,2026-05-08_15-29-22,baseline,False,192
5.769230769230769,0.1457584571838379,10.207596778869629,4.197115384615385e-06,0.4046218693256378,0.8703448275862069,0.840173545966229,0.7707317073170732,0.9096153846153846,0.7707317073170732,1.779,407.539,25.858,2026-05-08_15-29-22,baseline,False,192
0.967741935483871,0.4814754104614258,6.2743306159973145,1.9551971326164876e-05,,,,,,,,,,2026-05-08_15-29-22,hierarchical,True,192
1.935483870967742,0.29929437637329104,8.7749605178833,1.6863799283154122e-05,0.39958277344703674,0.8606896551724138,0.8362680977136788,0.7730337078651686,0.8995024875621891,0.7730337078651686,4.9799,145.584,9.237,2026-05-08_15-29-22,hierarchical,True,192
2.903225806451613,0.21531955718994142,16.4276123046875,1.417562724014337e-05,0.31619465351104736,0.8786206896551724,0.8485625308571645,0.7810945273631841,0.916030534351145,0.7810945273631841,4.9964,145.106,9.207,2026-05-08_15-29-22,hierarchical,True,192
3.870967741935484,0.16711074829101563,20.83737564086914,1.1487455197132617e-05,0.3901597857475281,0.88,0.8544005318449063,0.7933491686460807,0.9154518950437318,0.7933491686460807,4.9766,145.682,9.243,2026-05-08_15-29-22,hierarchical,True,192
4.838709677419355,0.1127878475189209,3.816899538040161,8.799283154121865e-06,0.6680015921592712,0.8386206896551724,0.8191291331631771,0.7597535934291582,0.8785046728971962,0.7597535934291582,4.9717,145.825,9.252,2026-05-08_15-29-22,hierarchical,True,192
5.806451612903226,0.09255019187927246,37.168453216552734,6.111111111111112e-06,0.5220826864242554,0.8758620689655172,0.8361277425058266,0.7554347826086957,0.9168207024029574,0.7554347826086957,4.9937,145.182,9.212,2026-05-08_15-29-22,hierarchical,True,192
6.774193548387097,0.06299969673156738,3.099378824234009,3.4229390681003587e-06,0.5809276700019836,0.8717241379310345,0.8460648068875297,0.7832167832167832,0.9089128305582762,0.7832167832167832,4.9856,145.418,9.227,2026-05-08_15-29-22,hierarchical,True,192
7.741935483870968,0.06240368366241455,4.9146904945373535,7.347670250896058e-07,0.6433960199356079,0.8772413793103448,0.844668164015012,0.7735368956743003,0.9157994323557237,0.7735368956743003,4.9733,145.779,9.249,2026-05-08_15-29-22,hierarchical,True,192
0.7692307692307693,0.5073960494995117,5.974133491516113,1.3572115384615385e-05,,,,,,,,,,2026-05-08_15-50-14,baseline,False,192
1.9230769230769231,0.36979698181152343,7.584432125091553,1.1408653846153845e-05,0.33981427550315857,0.8689655172413793,0.8485827787780658,0.7930283224400871,0.9041372351160444,0.7930283224400871,1.7871,405.695,25.741,2026-05-08_15-50-14,baseline,False,192
2.6923076923076925,0.2874512481689453,9.040746688842773,9.966346153846154e-06,0.39882639050483704,0.8317241379310345,0.8127106872427287,0.7530364372469636,0.8723849372384938,0.7530364372469636,1.7854,406.071,25.765,2026-05-08_15-50-14,baseline,False,192
3.8461538461538463,0.22526998519897462,5.4409050941467285,7.802884615384616e-06,0.33189189434051514,0.8841379310344828,0.8580101840971406,0.7971014492753623,0.918918918918919,0.7971014492753623,1.7808,407.123,25.831,2026-05-08_15-50-14,baseline,False,192
5.0,0.1919223976135254,6.7625813484191895,5.639423076923077e-06,0.39184582233428955,0.8593103448275862,0.8309389688534484,0.7616822429906542,0.9001956947162426,0.7616822429906542,1.7833,406.55,25.795,2026-05-08_15-50-14,baseline,False,192
5.769230769230769,0.15688209533691405,11.301154136657715,4.197115384615385e-06,0.3873026669025421,0.8731034482758621,0.8435741088180113,0.775609756097561,0.9115384615384615,0.775609756097561,1.7807,407.143,25.833,2026-05-08_15-50-14,baseline,False,192
6.923076923076923,0.11344888687133789,4.137177467346191,2.033653846153846e-06,0.43993374705314636,0.8772413793103448,0.8466060777512843,0.7780548628428927,0.9151572926596759,0.7780548628428927,1.7811,407.062,25.827,2026-05-08_15-50-14,baseline,False,192
0.967741935483871,0.5142919158935547,6.322005271911621,1.9551971326164876e-05,,,,,,,,,,2026-05-08_15-50-14,hierarchical,True,192
1.935483870967742,0.36045356750488283,10.312807083129883,1.6863799283154122e-05,0.35421761870384216,0.8510344827586207,0.8300043421623968,0.7702127659574468,0.889795918367347,0.7702127659574468,5.0071,144.794,9.187,2026-05-08_15-50-14,hierarchical,True,192
2.903225806451613,0.27796056747436526,11.965133666992188,1.417562724014337e-05,0.37436532974243164,0.8579310344827586,0.8354454926278259,0.774617067833698,0.8962739174219537,0.774617067833698,5.0022,144.937,9.196,2026-05-08_15-50-14,hierarchical,True,192
3.870967741935484,0.18592483520507813,10.664231300354004,1.1487455197132617e-05,0.36811548471450806,0.8827586206896552,0.856110824435359,0.7941888619854721,0.9180327868852459,0.7941888619854721,5.0025,144.927,9.195,2026-05-08_15-50-14,hierarchical,True,192
4.838709677419355,0.12510201454162598,26.814380645751953,8.799283154121865e-06,0.47093042731285095,0.856551724137931,0.8328515437955557,0.7699115044247787,0.8957915831663327,0.7699115044247787,5.0052,144.85,9.191,2026-05-08_15-50-14,hierarchical,True,192
5.806451612903226,0.11650646209716797,6.1486005783081055,6.111111111111112e-06,0.4827277958393097,0.8689655172413793,0.8241499837873306,0.7353760445682451,0.9129239230064161,0.7353760445682451,5.0084,144.758,9.185,2026-05-08_15-50-14,hierarchical,True,192
6.774193548387097,0.08936397552490234,8.261265754699707,3.4229390681003587e-06,0.511070191860199,0.8717241379310345,0.841166451904707,0.7714987714987716,0.9108341323106424,0.7714987714987716,5.0047,144.864,9.191,2026-05-08_15-50-14,hierarchical,True,192
0.7692307692307693,0.482277946472168,8.277252197265625,1.3572115384615385e-05,,,,,,,,,,2026-05-08_16-07-47,baseline,False,192
