run,model,accuracy,f1_macro,f1_binary,f1_class0,f1_class1,precision,recall,n_samples
1,baseline,0.7872093023255814,0.7570512711661632,0.6714542190305206,0.8426483233018057,0.6714542190305206,0.7515435076210688,0.7645948945615981,860
1,context,0.7930232558139535,0.7660529147104851,0.6866197183098591,0.8454861111111112,0.6866197183098591,0.7589455534422382,0.7771682257808783,860
2,baseline,0.7697674418604651,0.7477647226122972,0.6732673267326733,0.822262118491921,0.6732673267326733,0.7403533752592115,0.7697796099571905,860
2,context,0.7930232558139535,0.7660529147104851,0.6866197183098591,0.8454861111111112,0.6866197183098591,0.7589455534422382,0.7771682257808783,860
3,baseline,0.7558139534883721,0.7336660295887307,0.6568627450980392,0.8104693140794224,0.6568627450980392,0.727247192589222,0.7565562073886158,860
3,context,0.7988372093023256,0.7667436453399682,0.6802218114602587,0.8532654792196777,0.6802218114602587,0.7639840182648401,0.7698588869510068,860
4,baseline,0.7755813953488372,0.7408081202420457,0.6458715596330276,0.8357446808510638,0.6458715596330276,0.7375615763546798,0.74468051371492,860
4,context,0.7906976744186046,0.7555753453208784,0.6629213483146067,0.8482293423271501,0.6629213483146067,0.7545461979255121,0.7566513397811955,860
